"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1463","TC_PAY_15 Verify Payment API Response _addon test cases","chromium","2026-06-05","passed","2026-06-05","","payment/payment.spec.js","",""
"","3237","TC_AUTH_14 Verify async login processing _addon test cases","chromium","2026-06-05","failed","2026-06-05","","auth/login.spec.js","",""
"","7295","TC_WSH_10 Verify Wishlist Header Visibility","chromium","2026-06-05","passed","2026-06-05","","wishlist_addon/wishlist_addon.spec.js","",""
"","1889","TC_PDT_01 Verify product image is displayed","chromium","2026-06-05","passed","2026-06-05","","product/product.spec.js","",""
"","2022","TC_PDT_04 Verify product description visibility","chromium","2026-06-05","passed","2026-06-05","","product/product.spec.js","",""
"","2434","TC_PAY_03 Verify Payment Method Visibility","chromium","2026-06-05","passed","2026-06-05","","payment/payment.spec.js","",""
"","2093","TC_CHK_15 Verify Checkout API Response _addon test cases","chromium","2026-06-05","passed","2026-06-05","","checkout/checkout.spec.js","",""
"","8210","TC_WSH_01 Verify Wishlist Page Navigation","chromium","2026-06-05","passed","2026-06-05","","wishlist_addon/wishlist_addon.spec.js","",""
"","1820","TC_WSH_04 Verify Wishlist URL","chromium","2026-06-05","passed","2026-06-05","","wishlist_addon/wishlist_addon.spec.js","",""
"","60121","TC_CHK_01 Verify Checkout Navigation","chromium","2026-06-05","broken","2026-06-05","","checkout/checkout.spec.js","",""
"","1447","TC_PRF_09 Verify Session Persistence","chromium","2026-06-05","failed","2026-06-05","","profile_addon/profile_addon.spec.js","",""
"","1884","TC_PDT_05 Verify product availability","chromium","2026-06-05","passed","2026-06-05","","product/product.spec.js","",""
"","1806","TC_PDT_11 Verify review section visibility","chromium","2026-06-05","passed","2026-06-05","","product/product.spec.js","",""
"","2324","TC_PDT_06 Verify Add to Cart from PDP","chromium","2026-06-05","passed","2026-06-05","","product/product.spec.js","",""
"","9440","TC_SRH_10 Verify search result pagination","chromium","2026-06-05","passed","2026-06-05","","search/search.spec.js","",""
"","2952","TC_CART_14 Verify Async Cart Update _addon test cases","chromium","2026-06-05","passed","2026-06-05","","cart/cart.spec.js","",""
